index,prediction
50000,
50001,
50002,
50003,"17cm, 20cm, 6.69in, 7.87in, 10cm, 3.9in"
50004,
50005,7.4 in
50006,7.4 in
50007,23cm
50008,23cm
50009,23cm
50010,"90 cm, 4 in"
50011,"90 cm, 4 in"
50012,58.42 cm
50013,650 mg
50014,
50015,
50016,"12in, 12in"
50017,
50018,"39mm, 21mm, 0.8in, 290mm, 11.4in, 1500mm, 59in"
50019,"180 cm, 42 cm, 116.5 inch, 60 cm, 60 cm, 23.6 inch, 60 cm, 23.6 inch, 23.6 inch, 165 cm, 70 inch"
50020,
50021,"11cm, 4.33in, 15cm, 5.91in"
50022,
50023,"7.5cm, 3in, 3cm"
50024,"7.5cm, 3in, 3cm"
50025,
50026,
50027,"2cm, 4cm, 3.5cm, 13.5cm, 10.5cm"
50028,"105cm, 70cm, 44cm, 46cm"
50029,105 cm
50030,105 cm
50031,
50032,
50033,
50034,"3.15in, 8cm"
50035,"3.15in, 8cm"
50036,"2.5 cm, 1 in"
50037,"2.5 cm, 1 in"
50038,
50039,"113.7 mm, 75.8 mm"
50040,"113.7 mm, 75.8 mm"
50041,1.5 inch
50042,1.5 inch
50043,1.5 inch
50044,
50045,48cm
50046,48cm
50047,48cm
50048,
50049,130mm
50050,130mm
50051,
50052,"3.35in, 8.5cm"
50053,"3.35in, 8.5cm"
50054,"17 inch, 12 inch"
50055,"194 cm, 22 cm"
50056,"194 cm, 22 cm"
50057,"194 cm, 22 cm"
50058,"5 cm, 3.74 in, 9 cm, 5.08 in"
50059,"5 cm, 3.74 in, 9 cm, 5.08 in"
50060,
50061,"240v, 250w"
50062,7cm
50063,
50064,
50065,
50066,12 cm
50067,12 cm
50068,38mm
50069,38mm
50070,"18 cm, 4cm, 3cm, 4cm, 6inch, 1.6inch, 3cm, 1.2 inch, 1.2 inch"
50071,"18 cm, 4cm, 3cm, 4cm, 6inch, 1.6inch, 3cm, 1.2 inch, 1.2 inch"
50072,"22.8cm, 30.3cm"
50073,"16 inch, 4 inch"
50074,"16 inch, 4 inch"
50075,227g
50076,
50077,"8 in, 35.0 cm, 15.7 in, 40.0 cm"
50078,"8 in, 35.0 cm, 15.7 in, 40.0 cm"
50079,"4 cm, 4 cm, 5 cm, 0 cm"
50080,"98cm, 54cm"
50081,3.7 inch
50082,3.7 inch
50083,400w
50084,400w
50085,"2cm, 13.3cm, 2cm"
50086,
50087,"22.9cm, 9in, 9cm, 190cm"
50088,"3.6in, 2.8in, 2.8in, 1.2in"
50089,
50090,25v
50091,25v
50092,
50093,
50094,
50095,"1.77 inch, 1.18 inch"
50096,"1.77 inch, 1.18 inch"
50097, ml
50098,"8cm, 2cm"
50099,"8cm, 2cm"
50100,"43mm, 14mm, 19mm, 24mm"
50101,
50102,"20cm, 28cm, 43cm"
50103,"30cm, 28cm, 30cm, 30cm, 12cm, 20cm"
50104,"6 ft, 25 cm"
50105,35cm
50106,
50107,"7cm, 21.5cm"
50108,"8 cm, 2 cm"
50109,"8 cm, 2 cm"
50110,"5cm, 6cm"
50111,"0.78inch, 3.54inch, 0.78inch, 2.95inch"
50112,"0.78inch, 3.54inch, 0.78inch, 2.95inch"
50113,"5.5cm, 18cm, 7.3cm"
50114,"5.5cm, 18cm, 7.3cm"
50115,53mm
50116,53mm
50117,"485 mm, 200 mm, 100 mm"
50118,"485 mm, 200 mm, 100 mm"
50119,180cm
50120,180cm
50121,190mm
50122,190mm
50123,"6.3inch, 5.1inch"
50124,"6.3inch, 5.1inch"
50125,
50126,
50127,"6cm, 2.36in"
50128,"6cm, 2.36in"
50129,"6.69in, 6.69in, 59.05in"
50130,"6.69in, 6.69in, 59.05in"
50131,
50132,
50133,
50134,"2mm, 26cm, 31cm, 41cm"
50135,"49cm, 73cm"
50136,5.5cm
50137,5.5cm
50138,"3.46inch, 96mm"
50139, ml
50140,
50141,"150 cm, 74 cm, 70 cm, 70 cm, 90 cm"
50142,"150 cm, 74 cm, 70 cm, 70 cm, 90 cm"
50143,
50144,
50145,25cm
50146,25cm
50147,"8inch, 12inch"
50148,"8inch, 12inch"
50149,
50150,"3cm, 1.18in"
50151,"3cm, 1.18in"
50152,
50153,"42cm, 40cm, 32cm, 45cm"
50154,"42cm, 40cm, 32cm, 45cm"
50155,
50156,7 inch
50157,7 inch
50158,
50159,
50160,"14cm, 7cm, 30cm"
50161,"13cm, 5.1in"
50162,"13cm, 5.1in"
50163,"13cm, 5.1in"
50164,
50165,
50166,"24cm, 6cm, 15.3cm, 30.5cm"
50167,40cm
50168,40cm
50169,"6cm, 8cm, 11cm"
50170,"3600w, 360w"
