index,prediction
100000,"5.1in, 5.1in, 5.1in, 5.1in, 3.5in"
100001,"5.1in, 5.1in, 5.1in, 5.1in, 3.5in"
100002,"2.05in, 5.2cm, 3m"
100003,"30cm, 11.81in, 16cm, 6.30in, 2.09in"
100004,"80 cm, 44 cm, 31inch, 17 inch"
100005,"80 cm, 44 cm, 31inch, 17 inch"
100006,"80 cm, 44 cm, 31inch, 17 inch"
100007,"30 cm, 1 ft"
100008,"30 cm, 1 ft"
100009,8.6 inch
100010,
100011,"81inch, 15.5cm"
100012,"300mm, 300mm"
100013,10.04in
100014,0m
100015,"2.84 inch, 1.67 inch"
100016,"2.84 inch, 1.67 inch"
100017,
100018,"59.05in, 2.6in, 23.6in"
100019,95mm
100020,95mm
100021,1kg
100022, ml
100023,"20cm, 7.8in"
100024,"20cm, 7.8in"
100025,"4.8 in, 3.5in"
100026,"4.8 in, 3.5in"
100027,"16.7cm, 6.57inch"
100028,"16.7cm, 6.57inch"
100029,"27cm, 10.6inch, 18cm, 55cm, 21.6inch"
100030,
100031,
100032,14cm
100033,14cm
100034,"135g, 500g"
100035,"135g, 500g"
100036,
100037,"5ft, 7ft"
100038,"38cm, 15in, 9.5cm, 3.7in, 22cm, 8.7in"
100039,"60cm, 119cm, 4.6mm"
100040,
100041,"80 mm, 762 mm, 525 mm"
100042,"120mm, 35mm, 35mm"
100043,"1.8 in, 3.9 in"
100044,"1.8 in, 3.9 in"
100045,"28cm, 31cm"
100046,"12 inch, 25 inch, 5 inch"
100047,"2.3inch, 12.9inch, 118inch"
100048,"2.3inch, 12.9inch, 118inch"
100049,"17.2cm, 22cm, 22cm, 7.2cm"
100050,"17.2cm, 22cm, 22cm, 7.2cm"
100051,
100052,
100053,11 lbs
100054,"16cm, 29in"
100055,
100056,
100057,
100058,
100059,"82cm, 32.3inch, 142cm, 9inch"
100060,1.5 inch
100061,1.5 inch
100062,
100063,220cm
100064,"19.7cm, 45.2cm, 44cm, 33.5cm"
100065,"4.92in, 2.56in"
100066,"0150 mm, 2 mm, 0160 mm, 0115 mm, 4 mm, 0120 mm"
100067,
100068,"0.6 inch, 15mm, 0.8 inch, 10.8 inch, 276mm, 0.95 inch, 24mm, 10 inch, 256mm"
100069,"0.6 inch, 15mm, 0.8 inch, 10.8 inch, 276mm, 0.95 inch, 24mm, 10 inch, 256mm"
100070,"47cm, 18.5 inch, 15cm, 6 inch, 11.8 inch"
100071,
100072,
100073,
100074,"31cm, 80cm, 31.49in, 20in"
100075,
100076,"5.9 inch, 1.7 inch, 2.6 inch"
100077,"10cm, 22cm, 8cm, 10.5cm"
