index,prediction
115000,
115001,"127v, 240v, 300w, 5v, 3.3v, 5v, 3.3v, 160w"
115002,
115003,"48 lb, 180 g"
115004,"120w, 849.6w, 850w"
115005,
115006,100kg
115007,100kg
115008,1800 lbs
115009,
115010,
115011,
115012,
115013,
115014,
115015,
115016,
115017,13lbs
115018,"220 lbs, 100 kg, 19.1 lbs, 8.65 kg"
115019,"220 lbs, 100 kg, 19.1 lbs, 8.65 kg"
115020,
115021,5 lb
115022,
115023,
115024,5.5 oz
115025,176lbs
115026,33 lbs
115027,
115028,
115029,"2.8 lbs, 36lbs"
115030,
115031,
115032,18w
115033,
115034,88lbs
115035,88lbs
115036,
115037,250g
115038,
115039,5v
115040,
115041,114.8g
115042,
115043,"240w, 240w, 48v, 240w"
115044,
115045,
115046,"12v, 2.52v, 550w, 240v, 5v, 12v, 100w"
115047,
115048,"225g, 7.9oz"
115049,
115050,
115051,
115052,
115053,
115054,
115055,
115056,32g
115057,
115058,
115059,
115060,
115061,
115062,
115063,
115064,
115065,
115066,
115067,12v
115068,12v
115069, l
115070,"10.4g, 1 g"
115071,"4.5 kg, 4.5 kg"
115072,
115073,
115074,
115075,
115076,
115077,"140g, 4.9 ounce"
115078,
115079,
115080,
115081,
115082,
115083,180g
115084,75lbs
115085,
115086,
115087,
115088,95g
115089,30lbs
115090,50lb
115091,50lb
115092,
115093,
115094,
115095,350lbs
115096,
115097,
115098,
115099,
115100,
115101,gallon
115102,
115103,
115104,
115105,
115106,
115107,
115108,"50lb, 22kg"
115109,2g
115110,
115111,
115112,
115113,"17.64lbs, 8kg, 1.55lbs, 0.70kg"
115114,"17.64lbs, 8kg, 1.55lbs, 0.70kg"
115115,
115116,
115117,
115118,27.5lbs
115119,27.5lbs
115120,
115121,
115122,
115123,397g
115124,397g
115125,
115126,1.81kg
115127,
115128,260 lb
115129,15000lb
115130,
115131,
115132,
115133,
115134,30g
115135,320 lbs
115136,190g
115137,
115138,
115139,
115140,
115141,155g
115142,2204lbs
115143,
115144,800lbs
115145,
115146,
115147,
115148,
115149,105 w
115150,105 w
115151,
115152,
115153,
115154,3.61 kw
115155,
115156,"20kg, 11lbs, 0.5kg"
115157,"20kg, 11lbs, 0.5kg"
115158,
115159,
115160,
115161,
115162,1 lb
115163,1 lb
115164,
115165,
115166,
115167,
115168,35g
115169,35g
115170,
115171,
115172,0.52lb
115173,
115174,
115175,
115176,
115177,
115178,
115179,
115180,77g
115181,
115182,
115183,"300kg, 4.4kg"
115184,"300kg, 4.4kg"
115185,
115186,"2 oz, 15g"
115187,454g
115188,
115189,8kg
115190,384g
115191,
115192,
115193,
115194,
115195,"3g, 285g"
115196,1300 lbs
115197,
115198,"5.1lbs, 50 lbs"
115199,
115200,
115201,
115202,
115203,
115204," ml,  ml"
115205,
115206,
115207,
115208,
115209,120v
115210,120v
115211,
115212,
115213,"12 volt, 12 volt"
115214,
115215,"0.68 lb, 309g"
115216,
115217, ml
115218,
115219,
115220,139g
115221," l,  ml"
115222,
115223,
115224,
115225,
115226,295g
115227,295g
115228,
115229,
115230,
115231,3.8 lbs
115232,"60lbs, 35.2g"
115233,"8kg, 17.6lb"
115234,1.0kg
115235,1.0kg
115236,500 lb
115237,500 lb
115238,
115239,
115240,
115241,
115242,300 lb
115243,300 lb
115244,
115245,60w
115246,
115247,
115248,
115249,
115250,
115251,143g
115252, ml
115253,280 g
115254,280 g
115255,
115256,"120 lb, 120 lb"
115257,
115258,
115259,172lbs
115260,
115261,
115262,"220v, 240v, 95w"
115263,"220v, 240v, 95w"
115264, ml
115265,200kg
115266,200kg
115267,3.3lb
115268,
115269,"40g, 0g"
115270,230g
115271,
115272,
115273,"12v, 12v, 12v, 12v, 12 v"
115274,
115275,"23.2lbs, 10.5kg"
115276,"4 kg, 400 lbs"
115277,"4 kg, 400 lbs"
115278,
115279,
115280,
115281,
115282,
115283,2gb
115284,
115285,
115286,20v
115287,
115288,
115289,100w
115290,
115291,15 lb
115292,"115v, 250w"
115293,
115294,4.6g
115295,
115296, ml
115297,55 g
115298,
115299,
115300,22 lbs
115301,22 lbs
115302,0.21lb
115303,7.92lbs
115304,"66lbs, 66lbs"
115305,14g
115306,
115307,
115308,495 watt
115309,495 watt
115310,
115311,
115312,
115313,
115314,
115315,
115316,
115317,
115318,1.03 kg
115319,
115320,
115321,1lb
115322,
115323,
115324,1.20 oz
115325,
115326,
