index,prediction
25000,"12cm, 38cm, 9.5cm"
25001,4oz
25002,16cm
25003,
25004,
25005,
25006,"8 in, 45 cm"
25007,"8 in, 45 cm"
25008,201 cm
25009,
25010,
25011,1.3lbs
25012,"150kg, 6kg"
25013,"3.15inch, 8cm, 7.87inch"
25014,"2.4in, 6cm, 4.3in"
25015,
25016,"15in, 44in, 15in"
25017,"15in, 44in, 15in"
25018,
25019,21.1cm
25020,"40mm, 46mm"
25021,"24.8 inch, 66.2inch"
25022,"183cm, 11cm"
25023,"13.5cm, 28cm"
25024,215mm
25025,215mm
25026,
25027,"80 cm, 220 cm"
25028,"80 cm, 220 cm"
25029,"80 cm, 220 cm"
25030,
25031,
25032,22cm
25033,"1.6in, 3.9in"
25034,"1.6in, 3.9in"
25035,
25036,13.4 in
25037,13.4 in
25038,13.4 in
25039,
25040,
25041,
25042,"15 cm, 9.5 cm"
25043,"8ft, 8ft, 6ft"
25044,"11cm, 4.33inch, 9cm, 3.54inch"
25045,"11cm, 4.33inch, 9cm, 3.54inch"
25046,
25047,
25048,"12v, 12v, 12v, 12v"
25049,40kg
25050,40kg
25051,400 lbs
25052,"13.7 in, 35 cm, 2.3 in, 6.0 cm"
25053,"8 cm, 5 cm"
25054,"8 cm, 5 cm"
25055,
25056,"15cm, 25.5cm"
25057,"15cm, 25.5cm"
25058,
25059,
25060,"3.1 inch, 8 cm"
25061,"3.1 inch, 8 cm"
25062,"3.1 inch, 8 cm"
25063,"4.5 cm, 1.77 inch, 10 cm, 3.94 inch, 64 cm"
25064,"4.5 cm, 1.77 inch, 10 cm, 3.94 inch, 64 cm"
25065,
25066,
25067,
25068,"68cm, 26.77in, 37cm, 14.56in"
25069,"68cm, 26.77in, 37cm, 14.56in"
25070,"68cm, 26.77in, 37cm, 14.56in"
25071,"28mm, 1.1inch, 15.9mm, 62inch"
25072,"28mm, 1.1inch, 15.9mm, 62inch"
25073,200g
25074,"71mm, 50mm"
25075,"71mm, 50mm"
25076,"8kg, 12kg, 10kg, 4kg, 6kg, 16kg, 20kg, 24kg, 32kg, 40kg, 48kg"
25077,"12.5cm, 4.9in"
25078,
25079,9cm
25080,"48in, 18in, 12.6in"
25081,"5.2 cm, 2 in"
25082,"5.2 cm, 2 in"
25083,"5cm, 24cm"
25084,"5cm, 24cm"
25085,24cm
25086,24cm
25087,
25088,"13cm, 5inch, 18cm, 7inch"
25089,"17cm, 23cm, 22cm, 67cm, 40cm, 27cm"
25090,
25091,"5cm, 5cm, 5cm"
25092,
25093,
25094,
25095,
25096,
25097,"3.34 in, 8.5 cm, 1.85 in, 4.7 cm"
25098,"3.34 in, 8.5 cm, 1.85 in, 4.7 cm"
25099,7.8in
25100,7.8in
25101,
25102,
25103,
25104,
25105,
25106,
25107,"195mm, 38mm"
25108,"195mm, 38mm"
25109,"4in, 48cm, 14cm"
25110,"3.9in, 3cm, 1.2in, 6cm, 4in, 6cm, 4in, 3cm, 2in"
25111,"2.8in, 58mm, 25mm"
25112,"10.2 in, 25.5 cm, 2.5 in, 6.5 cm"
25113,"10.2 in, 25.5 cm, 2.5 in, 6.5 cm"
25114,310g
25115,"24v, 90w, 24v"
25116,"24v, 90w, 24v"
25117,
25118,"82 mm, 248 mm"
25119,"82 mm, 248 mm"
25120,14.9 cm
25121,14.9 cm
25122,18v
25123,24cm
25124,24cm
25125,24cm
25126,18w
25127,"8.5cm, 16.9cm"
25128,"8.5cm, 16.9cm"
25129,67g
25130,
25131,
25132,"195cm, 97cm"
25133,"8in, 20cm, 4in"
25134,"75 cm, 150 cm"
25135,"6cm, 2.4in, 7.8in, 14.5cm"
25136,"6cm, 2.4in, 7.8in, 14.5cm"
25137,
25138,
25139,"4.32 in, 11 cm, 4.13 in, 10.5 cm"
25140,"4.32 in, 11 cm, 4.13 in, 10.5 cm"
25141,9in
25142,9in
25143,
25144,
25145,
25146,40 cm
25147,"9.5cm, 3.74in"
25148,"9.5cm, 3.74in"
25149,"21cm, 8.3in"
25150,
25151,
25152,
25153,
25154,"1.1 in, 2.8 cm, 1.6 in, 4.0 cm"
25155,"1.1 in, 2.8 cm, 1.6 in, 4.0 cm"
25156,"1.1 in, 2.8 cm, 1.6 in, 4.0 cm"
25157,
25158,"31.8 in, 81 cm, 23.6 in, 60 cm"
25159,"31.8 in, 81 cm, 23.6 in, 60 cm"
25160,
25161,"76 mm, 240 mm"
25162,"76 mm, 240 mm"
25163,
25164,
25165,"185mm, 165mm"
25166,
25167,1500 watt
25168,1500 watt
25169,
25170,"594mm, 420mm"
25171,"594mm, 420mm"
25172,"14 mm, 14 mm, 30 mm"
25173,"14 mm, 14 mm, 30 mm"
25174,"31.9cm, 28.6cm, 6.6cm"
25175,32lbs
25176,4mm
25177,220 g
25178,12in
25179,12in
25180,12in
25181,"230v, 480w"
25182,"230v, 480w"
25183,"65cm, 40cm, 25cm"
25184,"200cm, 180cm, 215cm"
25185,"200cm, 180cm, 215cm"
25186,220w
25187,
25188,"4.72in, 9.4in, 11.8in"
25189,"200 mm, 200 mm, 310 mm"
25190,
25191,9.3cm
25192,9.3cm
25193,9.3cm
25194,
25195,"12cm, 4.7in, 13cm"
25196,"5cm, 5 cm"
25197,"5cm, 5 cm"
25198,"37cm, 37cm"
25199,330lbs
25200,22mm
25201,22mm
25202,22mm
25203,"42 in, 20 in"
25204,"42 in, 20 in"
25205,"12cm, 25cm"
25206,"12cm, 25cm"
25207,"12cm, 25cm"
25208,450g
25209,"160cm, 45cm, 37cm"
25210,
25211,
25212,
25213,11 cm
25214,510g
25215,
25216,23125cm
25217,23125cm
25218,"90 cm, 45 cm"
25219,"3.5 cm, 1.4 inch, 2.5 cm, 1 inch, 9 cm, 3.5 inch, 6.5 cm, 2.6 inch"
25220,
25221,4 cm
25222,4 cm
25223,4 cm
25224,"34cm, 49cm"
25225,
25226,"230mm, 6mm, 150mm"
25227, l
25228,
25229,
25230,"120v, 5w"
25231,"120v, 5w"
25232,"4.33 inch, 2.12 inch"
25233,"4.33 inch, 2.12 inch"
25234,"71mm, 2.79in"
25235,"71mm, 2.79in"
25236,"5.3 in, 13.5 cm"
25237,"0.5cm, 4.5cm, 10cm"
25238,"0.5cm, 4.5cm, 10cm"
25239,21v
25240,
25241,
25242,
25243,
25244,"48cm, 18cm, 35cm"
25245,"48cm, 18cm, 35cm"
25246,"3 cm, 5 cm"
25247,"3 cm, 5 cm"
25248,50cm
25249,50cm
25250,"215cm, 84.65in"
25251,"4cm, 14.5cm"
25252,"4cm, 14.5cm"
25253,
25254,
25255,1100 watt
25256,3.6v
25257,"252mm, 179mm"
25258,"252mm, 179mm"
25259,"37cm, 11.5 cm"
25260,"37cm, 11.5 cm"
25261,"37cm, 11.5 cm"
25262,"1.18in, 3.14in"
25263,"15.7in, 7.8in, 1.3in"
25264,"5 cm, 36 cm"
25265,
25266,
25267,26 cm
25268,26 cm
25269,26 cm
25270,"40cm, 15.74in"
25271,"40cm, 15.74in"
25272,"10cm, 3.94in"
25273,"10cm, 3.94in"
25274,
25275,
25276,
